1532;720;I;1400;Nestor;1;
1523;1490;I;1400;Nestor;2;
1428;840;I;1600;Javier;1;
1482;1700;I;1660;Javier;2
1374;800;I;1550;Jose;1
1648;690;I;1350;Ignacio;1
1156;910;D;1800;Lionel;1
1153;870;D;1750;Andres;1
1135;1810;D;1750;Andres;2
1287;798;D;1730;Diego;1
1233;812;D;1620;Armando;1
1322;1820;D;1620;Armando;2
1995;720;B;1400;Lionel;1
1354;710;B;1470;Armando;1
2254;690;B;1480;Ignacio;1
2245;1550;B;1480;Ignacio;2
1715;700;B;1410;Armando;1
1802;720;B;1400;Lionel;1
1457;789;B;1590;Armando;1
1991;810;B;1620;Jose;1
1919;1710;B;1620;Jose;2
1801;685;B;1250;Andrés;1
2285;770;B;1460;Jose;1
1662;775;B;1490;Andres;1
1968;695;B;1380;Lionel;1
1986;1450;B;1380;Lionel;2
2189;799;B;1580;Andres;1
1786;590;B;1250;Nestor;1
2102;756;B;1710;Jose;1
2087;738;B;1460;Diego;1
2078;1560;B;1460;Diego;2
1609;755;B;1520;Ignacio;1
1418;698;B;1326;Diego;1
2178;812;B;1630;Nestor;1
1622;699;B;1400;Diego;1
2159;825;B;1586;Ignacio;1
